Sl.No,project_name,agency,State,approval_date,start_date,original_doc,revised_doc,original_cost,revised_cost,expenditure,physical_progress,project_code,legacy_ocms_code,pmgid,cost_overrun_amount,cost_overrun_percent,expenditure_percent,remaining_cost,expenditure_progress_gap,planned_duration_months,approval_to_start_months,project_age_months,schedule_change_months,time_overrun_flag,cost_overrun_flag,project_size_category,low_progress_flag,spending_ahead_of_progress,expenditure_exceeds_revised_cost,extreme_cost_overrun,cost_risk,schedule_risk,progress_risk,financial_risk,risk_score,risk_level,intervention_priority
1120,Reconstruction and widening to 2 lane with paved shoulder from existing chainage km 102000 to km 134950 Design chainage km 90150 to km 116980 including construction of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,MoRTH,"Jammu and
Kashmir",2021-03-01,2022-07-01,2024-07-01,2026-03-01,642.24,572.51,0.0,100.0,MoRTH,618220,N24001897,-69.73000000000002,-10.85731190832088,0.0,572.51,-100.0,24.0,16.0,45.0,20.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1124,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 49150 to km 64535 Design chainage km 46.450 to km 55.800 including construction of Sungal Tunnel Total length of Tunnel 2.79 km under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-II Job no NH-144A-J&K-2019-20-78,MoRTH,"Jammu and
Kashmir",2020-03-01,2021-08-01,2024-08-01,2026-05-01,796.97,796.97,432.45,92.01,MoRTH,618224,N24001901,0.0,0.0,54.26176644039299,364.52,-37.748233559607016,36.0,17.0,56.0,21.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1499,Akshardham - DL/UP Border Pkg-01,National Highways Authority of India [NHAI],"Multi-States (Delhi,
Uttar Pradesh)",2020-09-01,2022-06-01,2024-12-01,2026-05-01,1479.22,1476.75,1343.18,100.0,National Highways Authority of India [NHAI],619122,N24001771,-2.4700000000000273,-0.1669798948094284,90.95513797189774,133.56999999999994,-9.044862028102258,30.0,21.0,46.0,17.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
971,4L of Aurangabad-Paithan,NHAI,Bihar,2022-09-01,2023-01-01,2024-07-01,2026-05-01,1505.0,349.96,305.59,96.5,NHAI,618779,N24001795,-1155.04,-76.74684385382061,87.32140816093268,44.370000000000005,-9.178591839067323,18.0,4.0,39.0,22.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1328,Kopargaon to Savali Vihir section,MoRTH,Maharashtra,2022-06-01,2023-01-01,2024-07-01,2026-06-01,195.38,195.38,0.0,80.0,MoRTH,617965,N24001904,0.0,0.0,0.0,195.38,-80.0,18.0,7.0,39.0,23.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1125,Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 134950 to km 166100 Design chainage km 116980 to km 146700 under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-VI Job no NH-144A-J&K-2021-22-106,MoRTH,"Jammu and
Kashmir",2021-07-01,2022-07-01,2024-07-01,2026-06-01,395.25,395.25,144.04,89.05,MoRTH,618225,N24001899,0.0,0.0,36.44275774826059,251.21,-52.60724225173941,24.0,12.0,45.0,23.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1126,Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 30.053 to Km 49.150 design chainage Km 30.000 to Km 46.450 including Kandi Tunnel under 31 BRTF on Akhnoor-Poonch Road NH-144A Under Project Sampark in the UT of Jammu & Kashmir EPC modePackage-I Job no NH-144A-J&K-2020-21-83.,MoRTH,"Jammu and
Kashmir",2020-07-01,2022-11-01,2024-11-01,2026-06-01,272.49,272.49,157.74,94.0,MoRTH,618226,N24001898,0.0,0.0,57.88836287570186,114.75,-36.11163712429814,24.0,28.0,41.0,19.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1503,4L Greenfield a Malout bypass from ch. Km 44.500 to ch. Km 35.500 on NH-07 and Ch. Km 0.000 to Km 6.984 on NH-09 bMandi Dabwali Bypass from Ch. 38.450 Km to Km 27.910 Pkg-02,National Highways Authority of India [NHAI],"Multi-States
(Haryana, Punjab)",2021-11-01,2022-12-01,2024-07-01,2026-04-01,646.42,556.09,549.2,98.0,National Highways Authority of India [NHAI],618760,N24001638,-90.32999999999991,-13.973886946567236,98.7609919257674,6.889999999999986,0.7609919257674136,19.0,13.0,40.0,21.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1504,4L Ambala - Kalaamb from Km. -0.800 to Km. 33.015 of old NH-72,National Highways Authority of India [NHAI],"Multi-States
(Haryana, Punjab)",2022-10-01,2023-06-01,2025-06-01,2026-05-01,1183.7,1190.34,452.48,100.0,National Highways Authority of India [NHAI],618935,N24002044,6.639999999999873,0.5609529441581375,38.01266864929349,737.8599999999999,-61.98733135070651,24.0,8.0,34.0,11.0,1,1,Large,0,0,0,0,25,50,0,0,22.5,LOW,1466
1434,Construction of 2-laning with Hard shoulder road of Ukhrul - Tolloi - Tadubi section of NH-102A from Design Chainage 50.850 km to 81.870 km in the State of Manipur on EPC mode under NHO-TSP Package -3,NHIDCL,Manipur,2021-09-01,2023-07-01,2025-01-01,2026-07-01,315.56,315.56,227.98,90.91,NHIDCL,618388,N24001974,0.0,0.0,72.24616554696412,87.58000000000001,-18.663834453035875,18.0,22.0,33.0,18.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1300,Indore - Harda Pkg-I [Indore to Raghav Garh from km. 0.25 to km. 26.903],National Highways Authority of India [NHAI],Madhya Pradesh,2022-01-01,2022-11-01,2024-10-01,2026-06-01,1011.29,813.03,416.8,91.73,National Highways Authority of India [NHAI],618694,N24001766,-198.26,-19.60466335076981,51.26502097093588,396.23,-40.464979029064125,23.0,10.0,41.0,20.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1384,Balance work of 4L Panvel to Indapur section of NH-66 Old NH- 17 from km 0.000 Panvel to km 42.300 Kasu,National Highways Authority of India [NHAI],Maharashtra,2022-12-01,2023-03-01,2024-10-01,2026-05-01,329.82,196.87,185.0,96.89,National Highways Authority of India [NHAI],618594,N24001609,-132.95,-40.30986598750834,93.9706405242038,11.870000000000005,-2.919359475796213,19.0,3.0,37.0,19.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
957,4L Elevated Highway and at grade improvements at Gopalganj Town from Km. 384.000 to Km. 386.750 on NH-27,National Highways Authority of India [NHAI],Bihar,2021-10-01,2022-03-01,2024-08-01,2026-04-01,325.57,248.92,225.44,99.78,National Highways Authority of India [NHAI],618570,N24001702,-76.65,-23.543324016340573,90.56725052225616,23.47999999999999,-9.212749477743856,29.0,5.0,49.0,20.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1289,Berkhedi to Godpehra on NH-44 Sagar link road,National Highways Authority of India [NHAI],Madhya Pradesh,2022-02-01,2022-11-01,2024-11-01,2026-06-01,524.84,471.31,368.56,88.0,National Highways Authority of India [NHAI],618664,N24001614,-53.53000000000003,-10.199298833930346,78.19906218836859,102.75,-9.800937811631414,24.0,9.0,41.0,19.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1549,Widening to Existing single lane /intermediate lane to 2 lane from Km185.00 to Km 220.00 of NH-61 New NH-02 in the state of Nagaland.,MoRTH,Nagaland,2021-03-01,2022-07-01,2024-07-01,2026-03-01,297.25,297.25,149.19,100.0,MoRTH,618072,N24001466,0.0,0.0,50.19007569386038,148.06,-49.80992430613962,24.0,16.0,45.0,20.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
918,"4-Laning of NH-37 Section between Demow to End of Moran Bypass From Km. 534.800 to Km. 561.700 including Emergency Landing Facility ELF under SARDP-NE, Phase 'A' in the State of Assam on EPC mode",NHIDCL,Assam,2016-01-01,2023-01-01,2024-07-01,2025-08-01,385.57,385.57,145.89,100.0,NHIDCL,618438,N24000582,0.0,0.0,37.83748735638146,239.68,-62.16251264361854,18.0,84.0,39.0,13.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1446,Rehabilitation and up gradation of Nongstoin-Rambrai-Kyrshai road up to Meghalaya- Assam border from Km 0.335 to km 34.039 to 2-Lane under NHO - NE in the State of Meghalaya Package-1,NHIDCL,Meghalaya,2021-09-01,2022-05-01,2024-05-01,2026-05-01,359.86,359.86,214.12,80.49,NHIDCL,618418,N24001474,0.0,0.0,59.50091702328684,145.74,-20.989082976713156,24.0,8.0,47.0,24.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1167,4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II,National Highways Authority of India [NHAI],Jharkhand,2022-03-01,2023-05-01,2025-05-01,2026-05-01,1479.72,1568.18,878.2,99.5,National Highways Authority of India [NHAI],618946,N24002057,88.46000000000004,5.978158029897551,56.001224349245625,689.98,-43.498775650754375,24.0,14.0,35.0,12.0,1,1,Large,0,0,0,0,25,50,0,0,22.5,LOW,1466
1367,Rehabilitation and Up-gradation to 2 lane with paved shoulder configuration of Mahud Sangola road NH 965 G 159400 to 161900and 162400 to 183960 Design Chainage from km. 32/300 to km. 34/800 and km. 35/800 to km. 56/860 Rigid Pavement on EPC mode in the State of Maharashtra.,MoRTH,Maharashtra,2023-02-01,2023-11-01,2025-05-01,2026-06-01,253.78,253.78,0.0,99.75,MoRTH,618188,N24002173,0.0,0.0,0.0,253.78,-99.75,18.0,9.0,29.0,13.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
907,Widening/Improvement to 4-Lane with Paved Shoulder from km 626030 Nalani hulla Gaon to km 650450 Chotahapjan on existing Tinsukhia -Makum Bypass of NH-15 OLD NH-37 and Strengthening of existing NH-315 OLD NH-38 from Km 0000 Chotahapjan to Km 16900 Bogapani section 2-Lane PS in Assam on EPCMode under NHO-NE Package-3,NHIDCL,Assam,2023-01-01,2023-05-01,2025-05-01,2026-07-01,458.59,458.59,217.2,83.39,NHIDCL,618340,N24001419,0.0,0.0,47.3625678710831,241.39,-36.0274321289169,24.0,4.0,35.0,14.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1244,6L of Thalikulam to Kodugallur section from km 369.015 to km 397.850 of NH - 66 old NH-17,National Highways Authority of India [NHAI],Kerala,2021-06-01,2022-09-01,2025-02-01,2026-06-01,4302.06,4302.06,772.89,84.18,National Highways Authority of India [NHAI],618602,N24001656,0.0,0.0,17.9655792806237,3529.1700000000005,-66.2144207193763,29.0,15.0,43.0,16.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1467,Widening and up-gradation to 2-lane with paved shoulder configuration and geometric improvements from km 339.00 to km 380.00 Siaha on Aizawl-Tuipang section under JICA ODA Loan assistance Phase-I Package-8,NHIDCL,Mizoram,2019-09-01,2020-03-01,2023-09-01,2025-06-01,637.06,637.06,101.89,99.82,NHIDCL,618383,N24000865,0.0,0.0,15.993783944997334,535.17,-83.82621605500266,42.0,6.0,73.0,21.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1178,Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,Karnataka,2022-03-01,2023-02-01,2025-02-01,2026-03-01,177.94,177.94,108.93,75.0,MoRTH,617998,N24000979,0.0,0.0,61.217264246375194,69.00999999999999,-13.782735753624806,24.0,11.0,38.0,13.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1183,Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,Karnataka,2022-01-01,2023-01-01,2025-01-01,2027-01-01,350.69,312.06,191.38,78.08,MoRTH,618029,N24001941,-38.629999999999995,-11.01542673016054,61.327949753252575,120.68,-16.752050246747423,24.0,12.0,39.0,24.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1037,"Widening 2 lane to 4-lane from KM 92/320 to Km 115/320 Vav Chokdi-Satlasana to to Vrundavan Chokdi, Kheralu on NH-58 in the State of Gujarat.",MoRTH,Gujarat,2022-03-01,2024-03-01,2026-03-01,2026-06-01,151.13,171.27,0.0,98.0,MoRTH,617928,N24002183,20.140000000000015,13.326275392046592,0.0,171.27,-98.0,24.0,24.0,25.0,3.0,1,1,Small,0,0,0,0,50,25,0,0,22.5,LOW,1466
1540,6L with access control provision Saharanpur bypass to Ganeshpur section from 13.89 Km to 41.820 Km of Delhi- Dehradun Economic Corridor package-2,National Highways Authority of India [NHAI],"Multi-States (Uttar
Pradesh,
Uttarakhand)",2022-04-01,2022-11-01,2024-11-01,2026-05-01,796.65,560.03,499.88,99.29,National Highways Authority of India [NHAI],618711,N24001629,-236.62,-29.701876608297244,89.25950395514526,60.14999999999998,-10.030496044854743,24.0,7.0,41.0,18.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1176,Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,Karnataka,2022-03-01,2023-03-01,2025-03-01,2026-12-01,718.52,718.52,308.84,82.0,MoRTH,617955,N24002012,0.0,0.0,42.98279797361243,409.68,-39.01720202638757,24.0,12.0,37.0,21.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1065,4L of Bal Works of Talaja - Mahuva from 54.990 km. to 100.450 km. of Old NH-8E Package-II,National Highways Authority of India [NHAI],Gujarat,2020-08-01,2021-03-01,2022-09-01,,698.4,735.51,418.41,100.0,National Highways Authority of India [NHAI],618835,N24001792,37.110000000000014,5.313573883161514,56.887057959783014,317.09999999999997,-43.112942040216986,18.0,7.0,61.0,,0,1,Medium,0,0,0,0,25,50,0,0,22.5,LOW,1466
1175,Balance work of Rehabilitation and upgrading to 2lane/2lane with paved shoulder configuration and strengthening from from Km 343.80 to 400.33 of Gowribidanur-Chik Ballapur section in the state of Karnataka Under Annual Plan 2021-22 under EPC Mode.-952,MoRTH,Karnataka,2022-03-01,2023-02-01,2025-02-01,2026-04-01,398.48,398.48,211.59,93.25,MoRTH,617954,N24001937,0.0,0.0,53.099277253563535,186.89,-40.150722746436465,24.0,11.0,38.0,14.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1418,Widening to 2 Lane with Paved shoulder of lmphal to Jiribam section of NH-37 from Design Ch. from km 131.280 to km 169.570 on EPC mode in Manipur under NHO- TSP PKG-6,NHIDCL,Manipur,2021-12-01,2023-02-01,2025-02-01,2026-05-01,504.76,504.76,308.06,95.0,NHIDCL,618334,N24002132,0.0,0.0,61.03098502258499,196.7,-33.96901497741501,24.0,14.0,38.0,15.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1394,4L of Ratnagiri - Kolhapur section from km 67.140 to km 112.340 of NH-166 Pkg II,National Highways Authority of India [NHAI],Maharashtra,2022-02-01,2023-05-01,2025-05-01,2027-03-01,1985.38,1798.0,389.68,79.18,National Highways Authority of India [NHAI],618836,N24001834,-187.3800000000001,-9.437991719469323,21.672969966629587,1408.32,-57.50703003337042,24.0,15.0,35.0,22.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1468,Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and geometric improvement from Km. 166. 000 to Km 208.000 Package-4 on Aizawl Tuipang Section of NH-54 in the State of Mizoram Package-4,NHIDCL,Mizoram,2019-09-01,2019-10-01,2023-04-01,2025-04-01,899.45,899.45,191.59,99.88,NHIDCL,618384,N24000862,0.0,0.0,21.300794930235146,707.86,-78.57920506976485,42.0,1.0,78.0,24.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1465,Widening and up-gradation to 2-lane with paved shoulder configuration and geometric improvements from km 250.00 Lunglei to km 298.00 on Aizawl-Tuipang section under JICA ODA Loan assistance Phase-I Package-6,NHIDCL,Mizoram,2019-09-01,2019-12-01,2023-06-01,2025-05-01,768.76,768.76,168.78,98.73,NHIDCL,618381,N24000863,0.0,0.0,21.95483635985223,599.98,-76.77516364014778,42.0,3.0,76.0,23.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1271,Upgradation of Nasrullagani-Rehti-Budhni Scction to 2-lane with paved shoulder from Km 0150 to Km 50500 of NH-146B in the state of Madhya Pradesh on EPC mode.,MoRTH,Madhya Pradesh,2021-12-01,2023-04-01,2024-10-01,2026-06-01,305.12,293.74,0.0,78.0,MoRTH,618085,N24001963,-11.379999999999995,-3.729680125852122,0.0,293.74,-78.0,18.0,16.0,36.0,20.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1199,6L of MH/KN Border Nimbal Village to KN/TS Border Singnodi Village from Km. 26.000 to Km. 97.000 in Gulbarga of NH-150C Pkg-II,National Highways Authority of India [NHAI],Karnataka,2022-02-01,2022-12-01,2025-06-01,2026-11-01,2355.56,1923.3,868.81,76.12,National Highways Authority of India [NHAI],618630,N24001676,-432.26,-18.350625753536313,45.17287994592627,1054.49,-30.947120054073736,30.0,10.0,40.0,17.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1187,Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,Karnataka,2022-03-01,2023-01-01,2024-07-01,2026-05-01,255.88,255.88,179.66,93.0,MoRTH,618087,N24001944,0.0,0.0,70.2125996560888,76.22,-22.7874003439112,18.0,10.0,39.0,22.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1169,4L of Basukinath- Deoghar Section of NH-114A,National Highways Authority of India [NHAI],Jharkhand,2022-09-01,2023-12-01,2025-12-01,2026-07-01,1444.94,1553.76,648.92,86.44,National Highways Authority of India [NHAI],618949,N24002055,108.81999999999994,7.531108558140817,41.7644938729276,904.84,-44.6755061270724,24.0,15.0,28.0,7.0,1,1,Large,0,0,0,0,25,50,0,0,22.5,LOW,1466
1019,Development of 6L Sargi Basanwahi Section from km 42.800 to km 99.500 of NH- 130CD Pkg-CG-2,National Highways Authority of India [NHAI],Chhattisgarh,2021-12-01,2023-01-01,2025-01-01,2026-05-01,1470.73,1461.81,756.05,99.0,National Highways Authority of India [NHAI],618674,N24001588,-8.920000000000073,-0.6065015332521995,51.72012778678487,705.76,-47.27987221321513,24.0,13.0,39.0,16.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1476,6L of Varadharajula to Kumarajapet from km 0.000 to km 43.800 of NH-716B Pkg-I,National Highways Authority of India [NHAI],"Multi-States
(Andhra Pradesh,
Tamil Nadu)",2021-02-01,2022-12-01,2024-12-01,2026-04-01,1924.75,1887.38,947.66,99.19,National Highways Authority of India [NHAI],618771,N24001820,-37.36999999999989,-1.9415508507598336,50.21034449872309,939.72,-48.97965550127691,24.0,22.0,40.0,16.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1464,Widening and Up-gradation to 2- Lane with Paved Shoulder Configuration and geometric improvement from Km. 125. 000 to Km 166 Package-3 on Aizawl Tuipang Section of NH-54 in the State of Mizoram Package-3,NHIDCL,Mizoram,2019-09-01,2019-10-01,2023-04-01,2025-04-01,867.09,867.09,159.47,97.51,NHIDCL,618380,N24000857,0.0,0.0,18.391401123297467,707.62,-79.11859887670253,42.0,1.0,78.0,24.0,1,0,Medium,0,0,0,0,0,75,0,0,22.5,LOW,1466
1189,Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,Karnataka,2022-01-01,2022-12-01,2024-12-01,2026-05-01,355.72,355.72,184.79,76.86,MoRTH,618109,N24001948,0.0,0.0,51.948161475317654,170.93000000000004,-24.911838524682345,24.0,11.0,40.0,17.0,1,0,Small,0,0,0,0,0,75,0,0,22.5,LOW,1466
1066,4L PS Divided Carriageway from Patan Near Rajpur to Gojariya From Km 52.000 to Km 128.940 of NH-68,National Highways Authority of India [NHAI],Gujarat,2021-12-01,2023-03-01,2025-03-01,2026-08-01,1181.34,1098.23,876.25,84.7,National Highways Authority of India [NHAI],618901,-,-83.1099999999999,-7.035231178153614,79.78747621172249,221.98,-4.912523788277511,24.0,15.0,37.0,17.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
1474,6L of Veera Kaveri Raja Puram to Pondavakkam from km 61.380 to km 96.040 of NH 716B Pkg-III,National Highways Authority of India [NHAI],"Multi-States
(Andhra Pradesh,
Tamil Nadu)",2021-03-01,2023-01-01,2025-01-01,2026-05-01,1439.77,1439.77,734.85,98.89,National Highways Authority of India [NHAI],618634,N24001819,0.0,0.0,51.039402126728575,704.92,-47.850597873271425,24.0,22.0,39.0,16.0,1,0,Large,0,0,0,0,0,75,0,0,22.5,LOW,1466
715,Brundamal-Jharsuguda- flyover connection for joining downline,East Coast Railway [ECoR] - II,Odisha,2014-01-01,2014-01-01,2026-12-01,2026-12-01,297.0,297.0,232.73,56.0,East Coast Railway [ECoR] - II,400232,N22000521,0.0,0.0,78.36026936026936,64.27000000000001,22.360269360269356,155.0,0.0,147.0,0.0,0,0,Small,0,1,0,0,0,0,40,75,21.25,LOW,1619
597,Gomoh - Flyover for DN trains,East Central Railway [ECR] - I,Jharkhand,2018-01-01,2018-01-01,2026-03-01,2026-03-01,686.0,686.0,631.52,66.5,East Central Railway [ECR] - I,705765,N22000611,0.0,0.0,92.05830903790088,54.48000000000002,25.55830903790087,98.0,0.0,99.0,0.0,0,0,Medium,0,1,0,0,0,0,40,75,21.25,LOW,1619
617,Satna-Rewa Railway Line Doubling Project,West Central Railway [WCR] - II,Madhya Pradesh,2015-11-01,2017-08-01,2026-03-01,2026-03-01,500.0,584.0,566.56,86.0,West Central Railway [WCR] - II,705659,N22000554,84.0,16.8,97.013698630137,17.440000000000055,11.013698630136986,103.0,21.0,104.0,0.0,0,1,Small,0,0,0,0,50,0,0,40,21.0,LOW,1621
495,Rewas Port Project,Reliance Industries Ltd,Maharashtra,2019-12-01,2020-01-01,2023-03-01,,6000.0,6000.0,5999.89,88.0,Reliance Industries Ltd,400382,-,0.0,0.0,99.99816666666668,0.1099999999996725,11.998166666666677,38.0,1.0,75.0,,0,0,Mega,0,0,0,0,0,50,0,40,21.0,LOW,1621
119,Naini Coal Mine,Singareni Collieries Company Limited [SCCL],Odisha,2020-03-01,2020-03-01,2026-03-01,,494.3,494.3,491.33,80.0,Singareni Collieries Company Limited [SCCL],615857,N06000203,0.0,0.0,99.39915031357476,2.9700000000000273,19.39915031357475,72.0,0.0,73.0,,0,0,Small,0,0,0,0,0,50,0,40,21.0,LOW,1621
679,Hospet - Tinaighat - Vasco Rail Doubling Project,RVNL - II,"Multi-States (Goa,
Karnataka)",2010-03-01,2012-07-01,2027-03-01,2027-12-01,5060.0,5060.0,5304.19,86.13,RVNL - II,705650,N22000297,0.0,0.0,104.82588932806324,-244.1899999999996,18.69588932806323,176.0,28.0,165.0,9.0,1,0,Mega,0,0,1,0,0,50,0,40,21.0,LOW,1621
749,Dedicated Test Track for RDSO /Phase-II Project,North Western Railway [NWR],Rajasthan,2021-11-01,2022-01-01,2026-03-01,,466.42,466.42,533.9,98.0,North Western Railway [NWR],706836,-,0.0,0.0,114.4676471849406,-67.47999999999996,16.467647184940603,50.0,2.0,51.0,,0,0,Small,0,0,1,0,0,50,0,40,21.0,LOW,1621
460,Establishment of new GMC Mahasamund,"Medical Education, Ministry of Health and Family Welfare",Chhattisgarh,2023-10-01,2023-10-01,2026-05-01,,325.0,325.0,321.5,82.0,"Medical Education, Ministry of Health and Family Welfare",707045,-,0.0,0.0,98.92307692307692,3.5,16.92307692307692,31.0,0.0,30.0,,0,0,Small,0,0,0,0,0,50,0,40,21.0,LOW,1621
1937,"Sewer Network, SPS and STP at Begusarai",National Mission for Clean Ganga,Bihar,2010-03-01,2018-03-01,2025-04-01,2025-12-01,230.06,230.06,261.82,97.0,National Mission for Clean Ganga,616615,N30000026,0.0,0.0,113.80509432322005,-31.75999999999999,16.805094323220032,85.0,96.0,97.0,8.0,1,0,Small,0,0,1,0,0,50,0,40,21.0,LOW,1621
128,Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],Telangana,2017-08-01,2022-12-01,2025-03-01,2026-03-01,424.81,424.81,406.81,81.0,Singareni Collieries Company Limited [SCCL],615861,N06000211,0.0,0.0,95.7628116098962,18.0,14.76281160989619,27.0,64.0,40.0,12.0,1,0,Small,0,0,0,0,0,50,0,40,21.0,LOW,1621
852,"4L Greenfield Road connecting North and South industrial cluster of Khandaleru Creek near Krishnapatnam port at Thamminapatnam to Mollur from Km 0.0 to Km 16.046, Part I & 6L extension of dedicated port road of NH-67 Km 18.0 to Km 19.3, Part II",National Highways Authority of India [NHAI],Andhra Pradesh,2022-08-01,2023-09-01,2025-09-01,2026-06-01,609.43,559.98,505.16,78.62,National Highways Authority of India [NHAI],618807,N24001979,-49.44999999999993,-8.114139441773451,90.21036465588055,54.81999999999999,11.590364655880563,24.0,13.0,31.0,9.0,1,0,Medium,0,0,0,0,0,50,0,40,21.0,LOW,1621
1104,4L PS bijni to mandi section from Km 202.815 to Km 208.000 of NH-20 New NH-154 of Pathankot-Mandi Package-VB,National Highways Authority of India [NHAI],Himachal Pradesh,2023-02-01,2025-03-01,2027-09-01,2027-09-01,1113.02,1112.39,335.79,27.8,National Highways Authority of India [NHAI],618881,-,-0.6299999999998818,-0.0566027564643835,30.18635550481396,776.6000000000001,2.3863555048139595,30.0,25.0,13.0,0.0,0,0,Large,0,0,0,0,0,0,75,0,18.75,LOW,1630
578,Samni Jambusar 24 km,PCE/WR,Gujarat,2022-05-01,2022-05-01,2030-03-01,2030-03-01,350.0,349.93,71.06,31.0,PCE/WR,611971,N22000541,-0.0699999999999931,-0.019999999999998,20.306918526562455,278.87,-10.693081473437545,94.0,0.0,47.0,0.0,0,0,Small,0,0,0,0,0,0,75,0,18.75,LOW,1630
1060,4L of Dhrol bypass section of NH-151A Approx. length 5.7 Km & widening upto 4 laning of missing link of Amran section of NH-151A Approx. length 6.55 Km from existing Ch. 42000 to 48500 of ongoing Dhrol-Bhadra-Pipaliya section of NH-151A,National Highways Authority of India [NHAI],Gujarat,2024-03-01,2025-02-01,2027-02-01,2027-02-01,625.58,455.54,113.54,26.0,National Highways Authority of India [NHAI],618616,-,-170.04000000000002,-27.18117586879376,24.92426570663389,342.0,-1.0757342933661145,24.0,11.0,14.0,0.0,0,0,Medium,0,0,0,0,0,0,75,0,18.75,LOW,1630
